DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Egypt,Sharm El Sheikh,EASTERN TOBACCO,,,,,1,1779131,0
Hong Kong,Hong Kong,JTI,NTD Caps,Full Flavor,STD,KS,1,2037103360,4.6
China,Beijing,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,645615744,0.2
Spain,Mahon Airport,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,9,852785400,1
Poland,Bydgoszcz,IMPERIAL BRANDS,,,,,1,296030,0
Turkey,Gaziantep Airport,KARELIA TOBACCO,Regular,1mg,SSL,100,1,6901200,0
India,Jaipur,KING'S TOBACCO,,,,,1,7815,0
Poland,Szczecin,JTI,Regular,Full Flavor,STD,KS,3,233183400,1.1
South Korea,Jeju,KT & G,Menthol Caps,Full Flavor,SSL,100,1,571396000,0.3
Russia,St. Petersburg Pulkovo,JTI,Regular,Lights,STD,KS,3,276393000,8.5
Cape Verde,Rabil,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,5,379422800,12.5
Germany,Cologne,BAT,Regular,Full Flavor,STD,KS,4,288020400,3.9
Turkey,Gaziantep Airport,P.T. DJARUM,Menthol,Lights,SLI,KS,1,345600,0
China,Xuzhou Guanyin,JTI,Regular,Lights,STD,KS,4,519916,0
China,Xuzhou Guanyin,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,90402,0
Tunisia,Enfidha,BAT,Regular,Lights,SSL,100,1,37400,0
China,Yanji Zhaoyangchuan,JTI,Regular,Lights,STD,KS,4,5527410,0
Turkey,Diyarbakir Airport,BAT,Regular,Full Flavor,SSL,KS,2,2116400,0
Morocco,Rabat,JTI,Regular,Lights,STD,100,2,11413374,0
Aruba,Oranjestad,JTI,Regular,Full Flavor,STD,KS,10,518192800,37.5
Turkey,Adana Airport,BAT,Regular,Full Flavor,STD,KS,17,95326600,0
Ivory Coast,Abidjan,JTI,Regular,Full Flavor,STD,KS,6,320625800,18.2
Tunisia,Jerba,BAT,Regular,1mg,SSL,100,1,162800,0
Italy,Palermo,BAT,Regular,Lights,SSL,100,1,98303200,0.4
Great Britain,London Luton,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,4,1086492600,0.8
China,Shanghai Pudong,BAT,Regular,Lights,STD,KS,2,3121077936,0.8
China,Shanghai Hongqiao,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,5,327947484,0.1
France,Nantes,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,3396000,0
Morocco,Marrakech,BAT,Regular,Full Flavor,STD,KS,10,10379268154,8.2
Ethiopia,Addis Ababa,JTI,Regular,Lights,STD,100,2,10686400,0.2
Spain,Vigo,BAT,Regular,Lights,SSL,100,1,1908800,0
Zambia,Lusaka,JTI,,,,,1,8128,20.1
Netherlands,Rotterdam,JTI,Regular,Full Flavor,STD,KS,1,23835000,5.5
United Arab Emirates,Abu Dhabi,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,12338400,0
Portugal,Faro Airport,JTI,Regular,Lights,STD,KS,2,1121173800,7.9
Colombia,Bogota,BAT,NTD Caps,Full Flavor,STD,KS,5,55527400,1.3
Morocco,Oujda,IMPERIAL BRANDS,Regular,Full Flavor,SSL,KS,1,1358120,0
Albania,Tirana,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,9,1055952600,4.3
Turkey,Eskisehir Airport,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,16228400,0
Mongolia,Ulaanbaatar,ALISHAN GROUP LTD,Regular,Full Flavor,STD,KS,1,191400,0.1
Belgium,Charleroi,JTI,Regular,Lights,STD,KS,2,157046400,4.4
Greece,Heraklion Airport,IMPERIAL BRANDS,Regular,Lights,STD,KS,3,341600600,1.2
China,Hefei Xinqiao,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,31720,0
Saudi Arabia,RIYADH,IMPERIAL BRANDS,Menthol Caps,Full Flavor,STD,KS,1,13285800,0
Mexico,Cancun,BAT,NTD Caps,Full Flavor,STD,KS,4,170794600,0.8
Canary Islands,Gran Canaria,BAT,Regular,Lights,STD,KS,1,855314000,0.6
Jordan,Amman,BAT,Regular,Full Flavor,STD,100,1,20313600,0.1
Saudi Arabia,Jeddah,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,1182527400,2.3
South Korea,Busan - Kimhae (downtown),KT & G,Regular,Lights,STD,KS,5,28765600,0
Morocco,Oujda,JTI,Regular,Lights,STD,100,1,2965770,0
South Korea,Incheon,OTHER LOCAL TMO IND.,,,,,1,17536000,0
Tunisia,Tunis,BAT,Menthol,Full Flavor,STD,KS,1,630000,0
India,Sardar Vallabh Bhai Patel,BAT,,,,,1,29936,0
Reunion,Roland Garros,BAT,Regular,Full Flavor,STD,KS,3,2214157000,19.2
South Korea,Cheongju,KT & G,Regular,1mg,SLI,100,1,13043800,0
China,Changsha Huanghua,KT & G,Menthol,Full Flavor,SSL,100,1,21328820,0
Hong Kong,Hong Kong,JTI,Regular,Lights,STD,KS,1,361690400,0.8
Spain,Palma De Mallorca,BAT,Regular,Full Flavor,SSL,100,1,39706200,0
France,Bordeaux,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,4358200,0
Jordan,Marka,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,2,344000,0
Cambodia,Sihanoukville,KT & G,Regular,1mg,SSL,100,3,68000,0
Spain,Alicante,IMPERIAL BRANDS,Regular,Lights,STD,100,1,1098825600,1.2
Mexico,Guadalajara,BAT,NTD Caps,Full Flavor,STD,KS,3,1758400,0
Russia,Volgograd,JTI,Regular,Lights,STD,KS,4,20916200,0.6
China,Qingdao Liuting,JTI,Menthol,Lights,STD,KS,1,17458500,0
China,Changsha Huanghua,KT & G,NTD Caps,Lights,SSL,100,1,12099328,0
Brazil,Sao Paulo - Guarulhos,BAT,Menthol,Full Flavor,SSL,100,1,101528400,1
Spain,Madrid Barajas,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,31280000,0
Tunisia,Tunis,BAT,Menthol Caps,Full Flavor,SSL,100,1,3087000,0
Spain,Valencia,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,3751800,0
Morocco,Marrakech,CHINA NATIONAL,Regular,Full Flavor,STD,KS,1,24940200,0
South Korea,Jeju (downtown),KT & G,Menthol Caps,Full Flavor,SSL,100,1,39396000,0
Switzerland,Geneva,JTI,NTD Caps,Full Flavor,STD,KS,3,996683800,1.3
Turkey,Antalya Airport,MONUS,Regular,Full Flavor,STD,100,2,3591600,0
Tunisia,Tunis,JTI,Regular,Lights,STD,KS,3,507325400,1.3
Vietnam,Hanoi,JTI,Regular,Full Flavor,STD,KS,3,411404518,5.5
Turkey,Trabzon Airport,BAT,Regular,Full Flavor,STD,100,1,2839200,0
China,Wuxi Shuofang,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,5,21170783,0
Italy,Venice,JTI,Regular,Ultralights,STD,KS,1,448000,0
South Korea,Daegu,KT & G,Regular,Lights,SSL,100,2,208045000,0.1
Nigeria,Lagos,JTI,NTD Caps,Full Flavor,STD,KS,1,3276000,0.7
China,Taiyuan Wusu,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,13664,0
Morocco,Nador,JTI,Regular,Lights,STD,KS,2,34018200,0
Taiwan,Taichung,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,2,12045232,0
Kenya,Nairobi,BAT,,,,,1,62159,0
Spain,Bilbao,BAT,Regular,Full Flavor,STD,KS,3,161059200,0.2
Saudi Arabia,Jeddah,ITC Ltd.,NTD Caps,Full Flavor,STD,KS,1,29341000,0.1
Gabon,Gabon,BAT,NTD Caps,Full Flavor,STD,KS,1,355600,0
China,Nanjing Lukou,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,58972350,0
Switzerland,Zurich,JTI,NTD Caps,Full Flavor,STD,KS,3,976724920,1.2
Morocco,Fes,BAT,Regular,Full Flavor,STD,KS,10,1822024556,1.4
France,Nice,BAT,Regular,Lights,SSL,100,1,606998400,1.3
Morocco,Essaouira,JTI,Menthol Caps,Full Flavor,STD,KS,1,343062,0
Poland,Warsaw,BAT,Regular,Full Flavor,STD,KS,4,118648800,0.6
South Korea,Cheongju,JTI,Regular,Lights,STD,KS,1,61479200,0
Switzerland,Zurich,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,31809200,0
South Korea,Seoul,KT & G,Regular,1mg,SLI,100,1,8516200,0
Switzerland,Geneva,BAT,Regular,Lights,SSL,100,1,2463545000,3.1
Turkey,Bodrum Airport,IMPERIAL BRANDS,Regular,1mg,SSL,100,1,13996800,0
Ethiopia,Addis Ababa,IMPERIAL BRANDS,Regular,Full Flavor,SSL,KS,1,2401600,0
Switzerland,Basel,JTI,Regular,Full Flavor,SSL,100,1,115200,0
China,Yinchuan Hedong,IMPERIAL BRANDS,Menthol,Full Flavor,STD,LONGER THAN KS,1,159652,0
Turkey,Antalya Gazipasa Airport,BAT,Regular,Full Flavor,SSL,100,1,3973200,0
Morocco,Tangier,IMPERIAL BRANDS,Regular,Full Flavor,SSL,KS,1,1637192,0
China,Hefei Xinqiao,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,2867976,0
Russia,Min Vody,JTI,Regular,Lights,STD,KS,2,50436000,1.6
China,Yancheng Nanyang,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,10320,0
Kenya,Jomo Kenyatta,IMPERIAL BRANDS,Menthol,Lights,STD,KS,1,3900000,0.1
China,Sanya Fenghuang,BAT,Regular,1mg,STD,KS,1,239560,0
Turkey,Ankara Airport,BAT,Regular,Lights,SSL,100,1,985179400,0.4
France,Nantes,BAT,Regular,Full Flavor,SSL,100,1,43718400,0.1
Great Britain,East Midlands,JTI,Menthol,Full Flavor,STD,KS,1,18438000,0
China,Chengdu Tianfu,JTI,Menthol,Lights,STD,KS,1,33119547,0
Morocco,Al Hoceima,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,1918,0
Taiwan,Taichung,BAT,Regular,Full Flavor,SSL,100,1,3457132,0
Great Britain,Bournemouth,JTI,Menthol,Full Flavor,STD,KS,1,2016000,0
Poland,Krakow Balice,IMPERIAL BRANDS,,,,,1,1040982,0
Jamaica,Montego Bay,BAT,Regular,Lights,SSL,100,1,140774000,3.7
Morocco,Tangier,JTI,NTD Caps,Full Flavor,STD,KS,6,103351228,0.1
Ghana,Accra,BAT,Regular,Lights,SLI,100,1,2585400,0.2
Switzerland,Geneva,BAT,Regular,Ultralights,STD,KS,1,71092400,0.1
Greece,Corfu,JTI,Regular,Ultralights,STD,KS,2,56364400,0.2
Greece,Chania,IMPERIAL BRANDS,Regular,Lights,STD,100,1,32640000,0.1
France,Nice,BAT,Regular,Ultralights,STD,KS,1,178400,0
Cambodia,Phnom Penh,JTI,Regular,Lights,STD,KS,2,118772600,7.8
Greece,Rhodes,JTI,Regular,Lights,STD,KS,2,619172400,2.1
France,Lyon Saint Exupery,POESCHL TABAK,Regular,Lights,STD,KS,1,453000,0
China,Zhengzhou Xinzheng,CHINA NATIONAL,Regular,Lights,STD,KS,1,24342311,0
Taiwan,Taichung,KT & G,Menthol,Full Flavor,SSL,100,1,6152104,0
Vietnam,Phu Quok,CHINA NATIONAL,,,,,1,24575,0
Morocco,Al Hoceima,JTI,Menthol Caps,Full Flavor,STD,KS,1,18090,0
South Korea,Daegu (downtown),KT & G,Menthol Caps,Full Flavor,SSL,100,1,18200000,0
Spain,Madrid Barajas,JTI,NTD Caps,Full Flavor,STD,KS,1,13345000,0
Germany,Munich,POESCHL TABAK,Regular,Lights,STD,KS,1,14828200,0.2
Turkey,Samsun Airport,BAT,Menthol,Lights,SSL,100,1,14112000,0
Tunisia,Monastir,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,23434600,0.1
Great Britain,Aberdeen,BAT,Regular,Ultralights,STD,KS,1,12755600,0
Turkey,Bodrum Airport,BAT,NTD Caps,Full Flavor,SSL,100,1,273000,0
Ethiopia,Addis Ababa,JTI,NTD Caps,Full Flavor,STD,KS,2,10896400,0.2
Greece,Mykonos,JTI,NTD Caps,Full Flavor,STD,KS,1,3150000,0
Greece,Chania,BAT,Regular,Full Flavor,STD,KS,3,51395400,0.2
Great Britain,London Stansted,JTI,Menthol,Full Flavor,STD,KS,1,25284000,0
Great Britain,Manchester,JTI,NTD Caps,Full Flavor,STD,KS,1,758898000,0.5
Ghana,Accra,BAT,Regular,Lights,SSL,100,1,101882200,8.8
United Arab Emirates,Dubai,BAT,Menthol,Full Flavor,STD,KS,1,1949995200,1.2
Tunisia,Tunis,REGIE NATIONAL,Regular,Full Flavor,STD,KS,1,71500000,0.2
Taiwan,Kaohsiung,BAT,Regular,Full Flavor,SSL,100,1,17185982,0
Morocco,Marrakech,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,416822,0
Russia,Moscow - Vnukovo,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,19210000,0.6
United Arab Emirates,Sharjah,BAT,Regular,Lights,STD,KS,1,356160000,0.2
Spain,Palma De Mallorca,JTI,Menthol,Lights,STD,KS,1,284145200,0.3
India,Anna,BAT,,,,,1,29936,0
China,Wenzhou Longwan,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,2724870,0
China,Wenzhou Longwan,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,11309946,0
China,Zhengzhou Xinzheng,IMPERIAL BRANDS,Menthol,Full Flavor,STD,LONGER THAN KS,1,1430856,0
Bahrain,Manama,BAT,Regular,Full Flavor,SSL,100,1,358938000,1.6
China,Wuxi Shuofang,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,2312850,0
Nigeria,Lagos,BAT,Regular,Lights,SLI,100,1,1195400,0.2
China,Kunming Wujiaba,BAT,Regular,Lights,STD,KS,2,69525432,0
Albania,Tirana,BAT,Menthol,Full Flavor,SSL,100,1,9534800,0
Greece,Mitilini,IMPERIAL BRANDS,Regular,Lights,STD,KS,2,12013200,0
South Korea,Busan - Kimhae,KT & G,Menthol,Lights,SSL,100,1,34070400,0
China,Xuzhou Guanyin,JTI,NTD Caps,Full Flavor,STD,KS,1,74240,0
Sweden,Gothenburg,BAT,Regular,Full Flavor,STD,KS,1,132800,0
United Arab Emirates,Sharjah,BAT,Regular,1mg,STD,KS,1,6741600,0
China,Mudanjiang Hailang,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,158360,0
Tunisia,Tozeur,BAT,Regular,Lights,SSL,100,1,16702000,0
Colombia,Bogota,BAT,Regular,Lights,SSL,100,1,410630600,9.4
Portugal,Madeira,KING'S TOBACCO,Regular,Full Flavor,SSL,100,1,774000,0
New Zealand,Christchurch,BAT,,,,,1,357035,23.2
Turkey,Antalya Gazipasa Airport,KARELIA TOBACCO,Regular,Lights,SSL,100,1,7099000,0
Cape Verde,Espargos,BAT,Regular,Lights,SSL,100,1,83032800,2.7
France,Lyon Saint Exupery,JTI,Regular,Ultralights,STD,KS,2,15406800,0
Turkey,Dalaman Airport,JTI,,,,,1,19368400,0
Greece,Mitilini,JTI,Regular,Lights,STD,KS,1,7881000,0
China,Yanji Zhaoyangchuan,KARELIA TOBACCO,Menthol,Lights,SLI,100,1,34230,0
China,Nanning Wuxu,KT & G,Menthol,Full Flavor,SSL,100,1,6179945,0
South Korea,Seoul (downtown),BAT,Menthol,Full Flavor,STD,KS,1,239800,0
Dominican Republic,Punta Cana - Higuey,CHINA NATIONAL,Regular,Full Flavor,STD,KS,1,37800,0
Mexico,Los Cabos,JTI,Menthol,Full Flavor,SSL,100,1,19735800,0.1
Martinique,Fort-de-France,BAT,Regular,Full Flavor,SSL,100,1,94944000,2.4
Mexico,Mazatlan,JTI,NTD Caps,Full Flavor,STD,KS,1,1098000,0
Brazil,Brasilia,CHINA NATIONAL,Regular,Full Flavor,STD,KS,3,1091200,0
Italy,Ciampino Airport,BAT,Regular,Lights,SSL,100,1,160339200,0.7
Saudi Arabia,Medina,IMPERIAL BRANDS,Regular,1mg,SSL,100,1,39009600,0.1
France,Grenoble,JTI,Regular,Lights,STD,KS,2,13821600,0
Turkey,Cukurova Airport,IMPERIAL BRANDS,Regular,Lights,STD,100,1,135000,0
China,Nanchang Changbei,IMPERIAL BRANDS,Menthol,Full Flavor,STD,LONGER THAN KS,1,28223,0
China,Xuzhou Guanyin,BAT,Regular,1mg,STD,KS,1,36040,0
Germany,Duesseldorf,OTHER LOCAL TMO IND.,,,,,1,5542151,0.1
Spain,Murcia,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,13342200,0
China,Yantai Penglai,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,2412489,0
United Arab Emirates,Dubai,KT & G,NTD Caps,Lights,SSL,100,1,1113591400,0.7
China,Shanghai Hongqiao,BAT,Regular,1mg,STD,KS,1,19003044,0
Great Britain,Leeds Bradford,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,18770400,0
Cape Verde,Espargos,BAT,,,,,1,829834,0
China,Nanjing Lukou,CHINA NATIONAL,,,,,1,363824,0
Turkey,Antalya Gazipasa Airport,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,12794600,0
South Korea,Muan,KT & G,Regular,1mg,SLI,100,1,1247400,0
Brazil,Recife,JTI,Menthol,Full Flavor,SSL,100,1,673400,0
Russia,Sochi,JTI,Menthol,Full Flavor,STD,100,1,2590800,0.1
France,Lyon Saint Exupery,POESCHL TABAK,Regular,Full Flavor,STD,KS,1,693000,0
Jordan,Marka,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,78000,0
South Korea,Cheongju,KT & G,Regular,Lights,SSL,100,2,107961000,0
India,Amritsar,ITC Ltd.,,,,,1,108216,0
Indonesia,Ngurah Rai,CHINA NATIONAL,,,,,1,2712,0
Turkey,Diyarbakir Airport,BAT,Regular,1mg,STD,KS,1,181800,0
Morocco,Agadir,IMPERIAL BRANDS,Menthol,Lights,STD,KS,1,23696530,0
China,Urumchi Diwobao,JTI,Regular,Full Flavor,STD,100,1,7685599,0
China,Shanghai Hongqiao,BAT,Menthol,Full Flavor,STD,KS,1,23963184,0
Canary Islands,Lanzarote,BAT,Regular,Lights,STD,KS,1,2179572000,1.6
France,Beauvais,BAT,Regular,Lights,SSL,100,1,52253400,0.1
Indonesia,Soekarno Hatta,KT & G,Regular,1mg,SSL,100,1,4600,0
Greece,Rhodes,KARELIA TOBACCO,Regular,1mg,STD,KS,1,2835000,0
Russia,Moscow - Vnukovo,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,45400,0
Sri Lanka,Colombo,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,2,1145200,0
France,Toulouse,JTI,Regular,Lights,STD,100,1,5440000,0
China,Shenyang Taoxian,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,49361592,0
Uzbekistan,Tashkent,IMPERIAL BRANDS,,,,,1,289998,1.5
China,Kunming Wujiaba,KT & G,Menthol,Full Flavor,SSL,100,1,27418419,0
Egypt,Cairo,BAT,Regular,Lights,SSL,100,1,268425000,5.7
Turkey,Bodrum Airport,POESCHL TABAK,Regular,Lights,STD,KS,1,6855400,0
South Africa,Cape Town,BAT,Regular,Lights,STD,KS,1,8848000,0.2
India,Amritsar,KT & G,,,,,1,37134,0
Brazil,Rio de Janeiro,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,6265200,0.1
Turkey,Samsun Airport,BAT,NTD Caps,Lights,SSL,100,1,553600,0
Saudi Arabia,DAMMAM,BAT,Menthol,Full Flavor,SSL,100,1,75963200,0.1
Italy,Treviso,JTI,Regular,Lights,STD,KS,2,4245600,0
Egypt,Cairo,EASTERN TOBACCO,,,,,1,10186510,0.2
Gambia,Banjul,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,19187400,1.9
Poland,Gdansk,JTI,,,,,1,7612945,0
Bulgaria,Sofia,JTI,Regular,Full Flavor,STD,100,1,27200,0
Taiwan,Taichung,BAT,Regular,Lights,STD,KS,3,215957178,0.1
Great Britain,East Midlands,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,28950600,0
Turkey,Samsun Airport,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,2,1348000,0
Bahrain,Manama,BAT,Regular,Lights,SSL,100,1,352650800,1.6
Great Britain,Bristol,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,33303600,0
China,Qingdao Liuting,JTI,NTD Caps,Full Flavor,STD,KS,1,11337728,0
Morocco,Tangier,IMPERIAL BRANDS,Regular,Lights,SSL,100,1,479354,0
China,Nanchang Changbei,BAT,Regular,Full Flavor,STD,100,1,173280,0
Japan,Miyazaki,KT & G,NTD Caps,Lights,SSL,100,1,2395600,0
Guatemala,Guatemala City,BAT,Menthol,Full Flavor,SSL,100,1,4774200,0.8
South Korea,Seoul,KT & G,Menthol Caps,Full Flavor,SSL,100,1,43022000,0
China,Dalian Zhoushuizi,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,13175745,0
South Korea,Busan - Kimhae,BAT,Menthol,Full Flavor,STD,KS,1,32046000,0
Morocco,Tangier,BAT,Regular,Lights,SSL,100,1,382475800,0.3
China,Urumchi Diwobao,JTI,Menthol,Full Flavor,STD,KS,1,4919280,0
Turkey,Cukurova Airport,BAT,Regular,1mg,STD,KS,1,1212000,0
Saudi Arabia,RIYADH,JTI,Regular,Ultralights,STD,KS,1,1412560600,2.7
Turkey,Cukurova Airport,JTI,Regular,Lights,STD,100,1,26080000,0
Canary Islands,Fuerteventura,KING'S TOBACCO,Menthol,Full Flavor,SSL,KS,1,3549600,0
Turkey,Izmir Airport,BAT,Menthol,Lights,SSL,100,1,406944000,0.2
Bangladesh,Zia,BAT,,,,,1,391799,10.8
Turkey,Gaziantep Airport,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,46580000,0
Turkey,Istanbul Asia Airport,KARELIA TOBACCO,Regular,Lights,SSL,100,1,584238600,0.2
China,Yantai Penglai,CHINA NATIONAL,Regular,Lights,STD,KS,1,9567419,0
Egypt,Marsa Aalam,BAT,,,,,1,2300784,0
Turkey,Istanbul Asia Airport,BAT,Regular,Lights,SSL,100,1,6972607800,2.9
Turkey,Bodrum Airport,KARELIA TOBACCO,Regular,Full Flavor,STD,KS,1,2784000,0
Turkey,Antalya Gazipasa Airport,IMPERIAL BRANDS,Regular,1mg,SSL,100,1,1339200,0
Great Britain,Exeter,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,1769000,0
Brazil,Florianopolis,BAT,Menthol,Full Flavor,SSL,100,1,1708200,0
China,Qingdao Liuting,JTI,Regular,Full Flavor,STD,100,1,5811476,0
Grenada,St. George's Point Saline,IMPERIAL BRANDS,Regular,Lights,STD,100,1,3916800,3.8
Cape Verde,Espargos,JTI,Menthol,Lights,STD,KS,1,18725600,0.6
China,Urumchi Diwobao,CHINA NATIONAL,,,,,1,429528,0
Guadalupe,Pointe-a-Pitre,BAT,Regular,Lights,SSL,100,1,709596400,15.9
South Korea,Daegu,KT & G,Menthol,Lights,SSL,100,1,6006000,0
Sweden,Vaxjo,BAT,,,,,1,3546,0
China,Mudanjiang Hailang,KT & G,NTD Caps,Lights,SSL,100,1,109550,0
China,Chengdu Tianfu,BAT,Regular,1mg,STD,KS,1,9578796,0
Morocco,Agadir,BAT,NTD Caps,Lights,SSL,100,1,20742181,0
Vietnam,Hanoi,BAT,Regular,Full Flavor,STD,KS,7,2284818881,30.8
Bangladesh,Zia,JTI,,,,,1,3246362,89.2
Kenya,Jomo Kenyatta,IMPERIAL BRANDS,,,,,1,191243,0
Great Britain,London Gatwick,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,2808282800,2
Brazil,Recife,BAT,Regular,Full Flavor,STD,KS,7,37414000,0.4
Japan,Tokyo - Narita,BAT,Menthol,Full Flavor,STD,KS,4,115518800,0.3
Spain,Barcelona,IMPERIAL BRANDS,Regular,Lights,STD,KS,4,184606800,0.2
Switzerland,Zurich,BAT,Regular,Full Flavor,STD,KS,14,5310684680,6.7
Mexico,Mexico City,JTI,Regular,Full Flavor,STD,KS,15,2278860000,11.1
France,Paris Charles De Gaulle,JTI,Regular,Lights,STD,KS,2,3641277600,7.7
Turkey,Istanbul Asia Airport,JTI,Regular,Lights,STD,KS,3,16636114600,6.9
China,Jinan Xiaoqiang,CHINA NATIONAL,Regular,Full Flavor,STD,KS,13,369216222,0.1
France,Lille,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,2,7034800,0
South Korea,Seoul (downtown),KT & G,Regular,1mg,SSL,100,10,1381586800,0.6
China,Shenyang Taoxian,CHINA NATIONAL,Regular,Full Flavor,STD,KS,13,2066374639,0.5
Aruba,Oranjestad,BAT,Regular,Full Flavor,STD,KS,8,158406800,11.5
China,Shanghai Pudong,JTI,Regular,Full Flavor,STD,KS,11,13649118780,3.5
Spain,Madrid Barajas,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,12,685159200,0.8
Morocco,Agadir,JTI,Regular,Full Flavor,STD,KS,11,6068884892,4.8
France,Lyon Saint Exupery,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,6,267984800,0.6
Brazil,Salvador,JTI,Regular,Full Flavor,STD,KS,7,161899000,1.6
United Arab Emirates,Dubai,KING'S TOBACCO,Regular,Ultralights,SSL,100,1,128752800,0.1
China,Hangzhou Xiaoshan,CHINA NATIONAL,Regular,Full Flavor,STD,KS,13,7874258647,2
Gabon,Gabon,BAT,Regular,Full Flavor,SSL,100,1,72657000,6.9
Morocco,Rabat,BAT,Regular,Ultralights,STD,KS,1,11506800,0
Peru,Lima,JTI,Menthol,Full Flavor,SSL,100,1,12540000,0.2
Belgium,Brussels,BAT,NTD Caps,Full Flavor,STD,KS,1,44191000,1.2
Tunisia,Monastir,JTI,Regular,Lights,STD,KS,1,4568400,0
Switzerland,Basel,BAT,Regular,1mg,STD,KS,1,14374320,0
Morocco,Fes,JTI,NTD Caps,Full Flavor,STD,KS,5,175040470,0.1
South Korea,Seoul (downtown),JTI,NTD Caps,Full Flavor,STD,KS,5,37418200,0
China,Dalian Zhoushuizi,KT & G,Menthol,Full Flavor,SSL,100,1,29180365,0
Laos,Vientiane,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,20500000,2.5
Morocco,Agadir,BAT,Menthol,Full Flavor,STD,KS,1,63075200,0
Malaysia,Kota Kinabalu,BAT,Regular,Lights,STD,KS,1,5640000,0
France,Marseille,JTI,Regular,Ultralights,STD,KS,2,8402200,0
Turkey,Antalya Airport,BAT,Regular,Full Flavor,STD,KS,20,17785088400,7.4
China,Kunming Wujiaba,BAT,Regular,Full Flavor,STD,KS,15,238237663,0.1
Spain,Valencia,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,12,220209200,0.2
South Korea,Busan - Kimhae (downtown),KT & G,NTD Caps,Lights,STD,KS,9,474958000,0.2
Vietnam,Cam Ranh,BAT,Regular,Full Flavor,STD,KS,6,479341000,6.5
Italy,Venice,JTI,Regular,Lights,STD,100,1,3680000,0
China,Yinchuan Hedong,CHINA NATIONAL,,,,,1,17616,0
China,Shanghai Hongqiao,KT & G,Regular,1mg,SSL,100,1,198542366,0.1
Poland,Wroclaw,BAT,,,,,1,1035033,0
Canary Islands,La Palma,JTI,Regular,Lights,STD,KS,3,164263200,0.1
Greece,Thessaloniki,IMPERIAL BRANDS,Regular,Lights,STD,KS,3,97686600,0.3
Greece,Athens,BAT,Regular,Full Flavor,STD,KS,3,162874000,0.6
Turkey,Gaziantep Airport,JTI,Regular,Full Flavor,STD,KS,7,702268200,0.3
China,Yancheng Nanyang,CHINA NATIONAL,Regular,Full Flavor,STD,KS,13,429080,0
