DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,2022 Volume,2023 Volume,2024 Volume,2022Month,2023Month,2024Month,2022 Revenue,2023 Revenue,2024 Revenue
China,Hebei,PMI,MARLBORO,119257,MARLBORO - PREMIUM BLACK (FWD) KS RCS 100 100 JUMBO RC WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),100,0,0,15400,0,0,3,0,0,25751.88
Turkey,Istanbul Asia Airport,PMI,MARLBORO,139003,MARLBORO - LUNA SHUFFLE MENTHOL KS RCB (PROMO) C MUL WHITE - TURKEY DF,200,0,309200,0,0,3,0,0,64932,0
Mexico,Cancun,JTI,GLAMOUR,54225,GLAMOUR - MENTHOL 100's L-STICK BOX SUPERSLIMS,400,190000,175600,312800,9,10,11,34141.95,33285.78,62559.94
Brazil,Salvador,PMI,MARLBORO,125084,MARLBORO - DOUBLE FUSION MENTHOL KS BOX C TRU WHITE - GENERIC DF-ENG TXT,200,0,9200,28600,0,5,7,0,1472,4756
Turkey,Bodrum Airport,PMI,MARLBORO,125710,MARLBORO - RED 3.5 100's SOFT - TURKEY DF,200,0,0,41400,0,0,6,0,0,9708.3
Jordan,Amman,PMI,PARLIAMENT,122945,PARLIAMENT - SILVER BLUE KS RCS JUMBO RC WHITE - GENERIC DF-ENG TXT,200,2040200,2178200,2212000,9,12,11,326348,359100.5,370510
Turkey,Dalaman Airport,JTI,WINSTON,54448,WINSTON - CLASSIC KS RCB,200,43200,33000,0,7,6,0,8205.2,6533.63,0
Great Britain,London City,JTI,SILK CUT,46016,SILK CUT - SILVER KS BOX,400,34800,43200,43600,11,12,11,7743,9612,13867.94
Spain,Valencia,JTI,SILK CUT,46016,SILK CUT - SILVER KS BOX,200,0,0,20000,0,0,4,0,0,6890
Canary Islands,Lanzarote,BAT,PALL MALL,53263,PALL MALL - (RED) KS BOX,200,602000,517000,543200,9,11,11,81119.5,66457.65,79039.42
United Arab Emirates,Ras El Khaymah,PMI,PARLIAMENT,120068,PARLIAMENT - SILVER BLUE KS RCS 400 WHITE - UAE DF,400,164800,133600,136400,12,11,11,27109.6,21977.2,22437.8
