Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score
Buenos Aires - Ezeiza,6.84,0.0,0.4,0.76,2.0
Daegu,6.13,8.34,0.25,0.0,3.68
Jeju (downtown),0.0,0.12,0.0,0.0,0.03
Melbourne,6.76,0.0,0.3,9.04,4.02
Faro Airport,6.74,0.0,0.21,0.0,1.74
Jinan Xiaoqiang,6.67,5.9,0.07,10.0,5.66
Bogota,6.84,9.9,0.4,6.66,5.95
Gaborone,7.78,0.0,0.0,0.21,2.0
Fort-de-France,6.15,10.0,0.36,6.84,5.84
Jeddah,6.45,10.0,0.15,0.0,4.15
Quanzhou Jinjiang,0.0,0.0,4.29,7.98,3.07
Tenerife,6.76,0.0,0.13,0.0,1.72
Moscow - Domodedovo,6.76,0.0,0.11,9.0,3.97
Ras El Khaymah,6.8,0.0,0.94,2.11,2.46
Guiyang Longdongbao,7.78,0.0,0.0,0.0,1.94
Fukushima,6.67,0.0,5.0,3.17,3.71
Aomori,4.44,0.0,5.4,8.84,4.67
Antalya Gazipasa Airport,6.83,9.23,0.09,0.0,4.04
Santiago Arturo Merino Benitez,6.67,10.0,0.24,10.0,6.73
Kristiansand,7.6,0.0,5.0,0.0,3.15
Macau,6.67,10.0,0.43,8.03,6.28
Poznan-Lawica,4.81,0.0,3.23,0.0,2.01
Kuala Lumpur,6.52,9.17,0.24,0.0,3.98
Shanghai Hongqiao,6.1,6.63,0.09,3.29,4.03
Montego Bay,6.73,9.61,0.2,8.53,6.27
Medellin Jose Maria Cordova,5.08,0.0,1.12,7.31,3.38
Nuernberg,6.86,0.0,0.95,0.0,1.95
Asturias,6.97,0.0,1.13,0.0,2.02
Everrich Downtown Kinmen,5.89,9.96,0.0,4.05,4.98
Cairo,6.79,10.0,0.0,0.0,4.2
Belgorod,7.78,0.0,0.0,0.0,1.94
Ningbo Lishe,6.2,0.09,0.07,9.99,4.09
Vladivostok,9.67,0.0,0.0,0.0,2.42
Asuncion Silvio Petterossi,6.85,0.0,0.0,7.95,3.7
Ixtapa Zihuatanejo,6.86,9.85,0.34,8.28,6.33
